# Contains (boardsize, move) pairs each denoting a move that should be
# swapped for that boardsize. Assume black is the vertical player and
# goes first.
1x1 a1

2x2 b1
2x2 a2

3x3 b1
3x3 c1
3x3 b2
3x3 a3
3x3 b3

4x4 d1
4x4 c2
4x4 b3
4x4 a4

5x5 d1
5x5 e1
5x5 b2
5x5 c2
5x5 d2
5x5 b3
5x5 c3
5x5 d3
5x5 b4
5x5 c4
5x5 d4
5x5 a5
5x5 b5

6x6 c1
6x6 d1
6x6 e1
6x6 f1
6x6 b2
6x6 c2
6x6 d2
6x6 e2
6x6 b3
6x6 c3
6x6 d3
6x6 e3
6x6 b4
6x6 c4
6x6 d4
6x6 e4
6x6 b5
6x6 c5
6x6 d5
6x6 e5
6x6 a6
6x6 b6
6x6 c6
6x6 d6

7x7 d1
7x7 f1
7x7 g1
7x7 c2
7x7 d2
7x7 e3
7x7 f2
7x7 b3
7x7 c3
7x7 d3
7x7 e3
7x7 f3
7x7 c4
7x7 d4
7x7 e4
7x7 b5
7x7 c5
7x7 d5
7x7 e5
7x7 f5
7x7 b6
7x7 c6
7x7 d6
7x7 e6
7x7 a7
7x7 b7
7x7 d7

8x8 h1
8x8 g2
8x8 h2
8x8 b3
8x8 c3
8x8 d3
8x8 e3
8x8 f3
8x8 g3
8x8 b4
8x8 c4
8x8 d4
8x8 e4
8x8 f4
8x8 g4
8x8 h4
8x8 a5
8x8 b5
8x8 c5
8x8 d5
8x8 e5
8x8 f5
8x8 g5
8x8 b6
8x8 c6
8x8 d6
8x8 e6
8x8 f6
8x8 g6
8x8 a7
8x8 b7
8x8 a8

9x9 h2
9x9 b3
9x9 c3
9x9 d3
9x9 e3
9x9 f3
9x9 g3
9x9 c4
9x9 d4
9x9 e4
9x9 f4
9x9 g4
9x9 b5
9x9 c5
9x9 d5
9x9 e5
9x9 f5
9x9 g5
9x9 h5
9x9 c6
9x9 d6
9x9 e6
9x9 f6
9x9 g6
9x9 c7
9x9 d7
9x9 e7
9x9 f7
9x9 g7
9x9 h7
9x9 b8

#11x11 a1
#11x11 b1
#11x11 c1
#11x11 d1
#11x11 e1
#11x11 f1
#11x11 g1
#11x11 h1
#11x11 i1
#11x11 j1
11x11 k1
11x11 a2
11x11 b2
11x11 c2
11x11 d2
11x11 e2
11x11 f2
11x11 g2
11x11 h2
11x11 i2
11x11 j2
11x11 k2
11x11 a3
11x11 b3
11x11 c3
11x11 d3
11x11 e3
11x11 f3
11x11 g3
11x11 h3
11x11 i3
11x11 j3
#11x11 k3
11x11 a4
11x11 b4
11x11 c4
11x11 d4
11x11 e4
11x11 f4
11x11 g4
11x11 h4
11x11 i4
11x11 j4
11x11 k4
11x11 a5
11x11 b5
11x11 c5
11x11 d5
11x11 e5
11x11 f5
11x11 g5
11x11 h5
11x11 i5
11x11 j5
11x11 k5
11x11 a6
11x11 b6
11x11 c6
11x11 d6
11x11 e6
11x11 f6
11x11 g6
11x11 h6
11x11 i6
11x11 j6
11x11 k6
11x11 a7
11x11 b7
11x11 c7
11x11 d7
11x11 e7
11x11 f7
11x11 g7
11x11 h7
11x11 i7
11x11 j7
11x11 k7
11x11 a8
11x11 b8
11x11 c8
11x11 d8
11x11 e8
11x11 f8
11x11 g8
11x11 h8
11x11 i8
11x11 j8
11x11 k8
#11x11 a9
11x11 b9
11x11 c9
11x11 d9
11x11 e9
11x11 f9
11x11 g9
11x11 h9
11x11 i9
11x11 j9
11x11 k9
11x11 a10
11x11 b10
11x11 c10
11x11 d10
11x11 e10
11x11 f10
11x11 g10
11x11 h10
11x11 i10
11x11 j10
11x11 k10
11x11 a11
#11x11 b11
#11x11 c11
#11x11 d11
#11x11 e11
#11x11 f11
#11x11 g11
#11x11 h11
#11x11 i11
#11x11 j11
#11x11 k11
